編號,學名,中文名,中文別名,英文名,英文別名,科,習性
964,Loropetalum chinense,紅花檵木_紅花繼木,紅繼木、紅梽木、紅桎木,Red_Strap_Flower,NoInfo,HAMAMELIDACEAE金縷梅科,灌木
978,Salvia splendens,一串紅,西洋紅_紅絲線,Scarlet_Sage,NoInfo,LAMIACEAE唇形科,灌木_草本
1006,Cuphea hyssopifolia,細葉萼距花,細葉雪茄花,False_Heather,NoInfo,LYTHRACEAE千屈菜科,灌木
1013,Michelia figo,含笑,沒資料,Banana Shrub,NoInfo,MAGNOLIACEAE木蘭科,常綠灌木
1023,Hibiscus schizopetalus,吊燈花_裂瓣朱槿,吊燈扶桑,Coral Hibiscus,NoInfo,MALVACEAE錦葵科,灌木
1025,Hibiscus rosa-sinensis,朱槿,扶桑_大紅花,Chinese Hibiscus,NoInfo,MALVACEAE錦葵科,灌木
1043,Melastoma sanguineum,毛稔,毛棯,Blood-red_Melastoma,NoInfo,MELASTOMATACEAE野牡丹科,灌木
1045,Melastoma malabathricum,野牡丹,沒資料,Common Melastoma,NoInfo,MELASTOMATACEAE野牡丹科,灌木
1049,Melastoma dodecandrum,地稔,地棯,Twelve-stamened_Melastoma,NoInfo,MELASTOMATACEAE野牡丹科,灌木
1059,Chorisia speciosa,絲木棉,美人樹,Floss-silk Tree,NoInfo,BOMBACACEAE木棉科,喬木
1061,Calliandra haematocephala,朱纓花,紅絨球,Pink_Powder_Puff,Calliandra,MIMOSACEAE含羞草科,灌木
1081,Solanum melongena,矮瓜_茄,沒資料,Egg-plant,Brinjal,SOLANACEAE茄科,灌木_草本
1110,Capsicum annuum,辣椒,牛角椒_長辣椒,Long Pepper,Bell Pepper,SOLANACEAE茄科,草本
1111,Rhodomyrtus tomentosa,桃金娘,崗棯_山棯_崗稔_山稔,Rose_Myrtle,Downy_Rosemyrtle,MYRTACEAE桃金娘科,灌木
